set N := AA AB AC AD AE AF AG AH AI AJ AK AL AM AN AO AP AQ AR AS AT;

set T := AA AB AC AD AE AF AG AH AI AJ;

table	K={K}	u(K)	o(K)	o_(K):
	K	u	o	o_	:=
	1	34.62	AK	AL
	2	20.00	AM	AN
	3	35.21	AO	AP
	4	34.87	AQ	AR
	5	30.00	AS	AT
;

param c default 0 :=
AA	AB	1	200.41
AA	AB	2	257.56
AA	AB	3	190.60
AA	AB	4	221.17
AA	AB	5	206.94
AA	AC	1	234.31
AA	AC	2	301.14
AA	AC	3	222.84
AA	AC	4	258.59
AA	AC	5	241.95
AA	AD	1	271.47
AA	AD	2	348.89
AA	AD	3	258.18
AA	AD	4	299.59
AA	AD	5	280.32
AA	AE	1	1002.04
AA	AE	2	1287.82
AA	AE	3	952.98
AA	AE	4	1105.85
AA	AE	5	1034.72
AA	AF	1	57.59
AA	AF	2	74.01
AA	AF	3	54.77
AA	AF	4	63.55
AA	AF	5	59.47
AA	AG	1	135.73
AA	AG	2	174.44
AA	AG	3	129.09
AA	AG	4	149.79
AA	AG	5	140.16
AA	AH	1	95.98
AA	AH	2	123.35
AA	AH	3	91.28
AA	AH	4	105.92
AA	AH	5	99.11
AA	AI	1	214.61
AA	AI	2	275.82
AA	AI	3	204.11
AA	AI	4	236.85
AA	AI	5	221.61
AA	AJ	1	923.39
AA	AJ	2	1186.73
AA	AJ	3	878.18
AA	AJ	4	1019.05
AA	AJ	5	953.51
AA	AK	1	82.38
AA	AK	2	105.87
AA	AK	3	78.35
AA	AK	4	90.91
AA	AK	5	85.07
AA	AL	1	428.95
AA	AL	2	551.29
AA	AL	3	407.95
AA	AL	4	473.39
AA	AL	5	442.94
AA	AM	1	454.84
AA	AM	2	584.56
AA	AM	3	432.57
AA	AM	4	501.96
AA	AM	5	469.68
AA	AN	1	524.59
AA	AN	2	674.20
AA	AN	3	498.90
AA	AN	4	578.93
AA	AN	5	541.70
AA	AO	1	490.98
AA	AO	2	631.01
AA	AO	3	466.94
AA	AO	4	541.85
AA	AO	5	507.00
AA	AP	1	545.57
AA	AP	2	701.16
AA	AP	3	518.86
AA	AP	4	602.09
AA	AP	5	563.36
AA	AQ	1	886.64
AA	AQ	2	1139.51
AA	AQ	3	843.23
AA	AQ	4	978.49
AA	AQ	5	915.56
AA	AR	1	211.73
AA	AR	2	272.11
AA	AR	3	201.36
AA	AR	4	233.66
AA	AR	5	218.63
AA	AS	1	448.87
AA	AS	2	576.89
AA	AS	3	426.89
AA	AS	4	495.37
AA	AS	5	463.51
AA	AT	1	825.42
AA	AT	2	1060.83
AA	AT	3	785.01
AA	AT	4	910.93
AA	AT	5	852.35
AB	AA	1	200.41
AB	AA	2	257.56
AB	AA	3	190.60
AB	AA	4	221.17
AB	AA	5	206.94
AB	AC	1	76.78
AB	AC	2	98.68
AB	AC	3	73.02
AB	AC	4	84.74
AB	AC	5	79.29
AB	AD	1	134.37
AB	AD	2	172.69
AB	AD	3	127.79
AB	AD	4	148.29
AB	AD	5	138.75
AB	AE	1	801.63
AB	AE	2	1030.25
AB	AE	3	762.38
AB	AE	4	884.68
AB	AE	5	827.78
AB	AF	1	191.96
AB	AF	2	246.70
AB	AF	3	182.56
AB	AF	4	211.84
AB	AF	5	198.22
AB	AG	1	103.37
AB	AG	2	132.85
AB	AG	3	98.31
AB	AG	4	114.08
AB	AG	5	106.74
AB	AH	1	195.76
AB	AH	2	251.59
AB	AH	3	186.17
AB	AH	4	216.04
AB	AH	5	202.14
AB	AI	1	165.13
AB	AI	2	212.22
