set N := AA AB AC AD AE AF AG AH AI AJ AK AL AM AN AO AP AQ AR AS AT AU AV AW AX AY AZ BA BB;

set T := AA AB AC AD AE AF AG AH AI AJ AK AL AM AN;

table	K={K}	u(K)	o(K)	o_(K):
	K	u	o	o_	:=
	1	5.00	AO	AP
	2	11.09	AQ	AR
	3	16.79	AS	AT
	4	17.25	AU	AV
	5	19.80	AW	AX
	6	14.27	AY	AZ
	7	19.00	BA	BB
;

param c default 0 :=
AA	AB	1	429.35
AA	AB	2	535.03
AA	AB	3	854.61
AA	AB	4	678.26
AA	AB	5	758.62
AA	AB	6	957.63
AA	AB	7	833.43
AA	AC	1	427.22
AA	AC	2	532.37
AA	AC	3	850.38
AA	AC	4	674.89
AA	AC	5	754.86
AA	AC	6	952.88
AA	AC	7	829.30
AA	AD	1	561.70
AA	AD	2	699.96
AA	AD	3	1118.07
AA	AD	4	887.34
AA	AD	5	992.48
AA	AD	6	1252.84
AA	AD	7	1090.35
AA	AE	1	277.52
AA	AE	2	345.83
AA	AE	3	552.41
AA	AE	4	438.41
AA	AE	5	490.36
AA	AE	6	619.00
AA	AE	7	538.71
AA	AF	1	298.23
AA	AF	2	371.64
AA	AF	3	593.63
AA	AF	4	471.13
AA	AF	5	526.95
AA	AF	6	665.19
AA	AF	7	578.92
AA	AG	1	325.23
AA	AG	2	405.29
AA	AG	3	647.38
AA	AG	4	513.78
AA	AG	5	574.66
AA	AG	6	725.42
AA	AG	7	631.33
AA	AH	1	385.62
AA	AH	2	480.54
AA	AH	3	767.58
AA	AH	4	609.18
AA	AH	5	681.37
AA	AH	6	860.11
AA	AH	7	748.56
AA	AI	1	407.55
AA	AI	2	507.87
AA	AI	3	811.24
AA	AI	4	643.83
AA	AI	5	720.12
AA	AI	6	909.03
AA	AI	7	791.13
AA	AJ	1	239.54
AA	AJ	2	298.50
AA	AJ	3	476.80
AA	AJ	4	378.41
AA	AJ	5	423.24
AA	AJ	6	534.27
AA	AJ	7	464.98
AA	AK	1	282.53
AA	AK	2	352.07
AA	AK	3	562.38
AA	AK	4	446.33
AA	AK	5	499.21
AA	AK	6	630.17
AA	AK	7	548.44
AA	AL	1	194.26
AA	AL	2	242.08
AA	AL	3	386.68
AA	AL	4	306.88
AA	AL	5	343.24
AA	AL	6	433.29
AA	AL	7	377.09
AA	AM	1	512.74
AA	AM	2	638.94
AA	AM	3	1020.60
AA	AM	4	809.99
AA	AM	5	905.97
AA	AM	6	1143.63
AA	AM	7	995.30
AA	AN	1	595.64
AA	AN	2	742.25
AA	AN	3	1185.62
AA	AN	4	940.96
AA	AN	5	1052.45
AA	AN	6	1328.54
AA	AN	7	1156.23
AA	AO	1	536.76
AA	AO	2	668.89
AA	AO	3	1068.43
AA	AO	4	847.95
AA	AO	5	948.42
AA	AO	6	1197.22
AA	AO	7	1041.94
AA	AP	1	479.96
AA	AP	2	598.11
AA	AP	3	955.37
AA	AP	4	758.22
AA	AP	5	848.06
AA	AP	6	1070.54
AA	AP	7	931.69
AA	AQ	1	169.34
AA	AQ	2	211.02
AA	AQ	3	337.07
AA	AQ	4	267.51
AA	AQ	5	299.21
AA	AQ	6	377.70
AA	AQ	7	328.71
AA	AR	1	608.05
AA	AR	2	757.72
AA	AR	3	1210.33
AA	AR	4	960.57
AA	AR	5	1074.38
AA	AR	6	1356.23
AA	AR	7	1180.33
AA	AS	1	179.54
AA	AS	2	223.73
AA	AS	3	357.37
AA	AS	4	283.62
AA	AS	5	317.23
AA	AS	6	400.45
AA	AS	7	348.51
AA	AT	1	536.90
AA	AT	2	669.05
AA	AT	3	1068.70
AA	AT	4	848.16
AA	AT	5	948.66
AA	AT	6	1197.53
AA	AT	7	1042.21
AA	AU	1	246.22
AA	AU	2	306.82
AA	AU	3	490.10
AA	AU	4	388.96
AA	AU	5	435.05
AA	AU	6	549.18
AA	AU	7	477.95
AA	AV	1	425.19
AA	AV	2	529.85
AA	AV	3	846.34
